name,type,calc_type,params,window_before,window_after,notes
元旦,大众节日,fixed_solar,01-01,7,1,
情人节,大众节日,fixed_solar,02-14,7,1,
妇女节,大众节日,fixed_solar,03-08,7,1,
中国植树节,大众节日,fixed_solar,03-12,3,1,
白色情人节,大众节日,fixed_solar,03-14,5,1,
消费者权益保护日,大众节日,fixed_solar,03-15,3,1,
愚人节,大众节日,fixed_solar,04-01,3,1,
劳动节,大众节日,fixed_solar,05-01,7,2,
五四青年节,大众节日,fixed_solar,05-04,5,1,
520网络情人节,大众节日,fixed_solar,05-20,7,1,
儿童节,大众节日,fixed_solar,06-01,7,1,
618大促,电商大促,fixed_solar,06-18,14,3,电商大促预热期长
建党节,大众节日,fixed_solar,07-01,3,1,
建军节,大众节日,fixed_solar,08-01,3,1,
全民健身日,大众节日,fixed_solar,08-08,3,1,
教师节,大众节日,fixed_solar,09-10,5,1,
国庆节,大众节日,fixed_solar,10-01,7,3,
双11大促,电商大促,fixed_solar,11-11,14,3,电商大促预热期长
双12大促,电商大促,fixed_solar,12-12,14,3,电商大促预热期长
平安夜,大众节日,fixed_solar,12-24,3,1,
圣诞节,大众节日,fixed_solar,12-25,7,1,
世界水日,小众节点,fixed_solar,03-22,2,1,
世界地球日,大众节日,fixed_solar,04-22,5,1,
世界读书日,大众节日,fixed_solar,04-23,5,1,
中国航天日,小众节点,fixed_solar,04-24,2,1,
世界知识产权日,小众节点,fixed_solar,04-26,2,1,
世界无烟日,小众节点,fixed_solar,05-31,2,1,
世界海洋日,小众节点,fixed_solar,06-08,2,1,
国际禁毒日,小众节点,fixed_solar,06-26,2,1,
中华慈善日,小众节点,fixed_solar,09-05,2,1,
世界动物日,小众节点,fixed_solar,10-04,2,1,
世界粮食日,小众节点,fixed_solar,10-16,2,1,
世界艾滋病日,小众节点,fixed_solar,12-01,2,1,
国际残疾人日,小众节点,fixed_solar,12-03,2,1,
国际志愿者日,小众节点,fixed_solar,12-05,2,1,
世界湿地日,小众节点,fixed_solar,02-02,2,1,
世界癌症日,小众节点,fixed_solar,02-04,2,1,
国际气象节,小众节点,fixed_solar,02-10,2,1,
国际罕见病日,小众节点,fixed_solar,02-28,2,1,
世界野生动植物日,小众节点,fixed_solar,03-03,2,1,
全国爱耳日,小众节点,fixed_solar,03-03,2,1,
国际数学日,小众节点,fixed_solar,03-14,2,1,
国际航海日,小众节点,fixed_solar,03-17,2,1,
世界回收日,小众节点,fixed_solar,03-18,2,1,
全国爱肝日,小众节点,fixed_solar,03-18,2,1,
国际幸福日,小众节点,fixed_solar,03-20,2,1,
世界口腔健康日,小众节点,fixed_solar,03-20,2,1,
世界睡眠日,小众节点,fixed_solar,03-21,2,1,
世界森林日,小众节点,fixed_solar,03-21,2,1,
世界诗歌日,小众节点,fixed_solar,03-21,2,1,
国际小狗日,小众节点,fixed_solar,03-23,2,1,
世界戏剧日,小众节点,fixed_solar,03-27,2,1,
国际爱鸟日,小众节点,fixed_solar,04-01,2,1,
世界孤独症关注日,小众节点,fixed_solar,04-02,2,1,
世界卫生日,小众节点,fixed_solar,04-07,2,1,
国际珍稀动物保护日,小众节点,fixed_solar,04-08,2,1,
国际护胃日,小众节点,fixed_solar,04-09,2,1,
世界航天日,小众节点,fixed_solar,04-12,2,1,
全国抗癌日,小众节点,fixed_solar,04-15,2,1,
世界嗓音日,小众节点,fixed_solar,04-16,2,1,
国际古迹遗址日,小众节点,fixed_solar,04-18,2,1,
全民饮茶日,小众节点,fixed_solar,04-20,2,1,
联合国中文日,小众节点,fixed_solar,04-20,2,1,
国际导盲犬日,小众节点,fixed_solar,04-29,2,1,
世界微笑日,小众节点,fixed_solar,05-08,2,1,
世界红十字日,小众节点,fixed_solar,05-08,2,1,
中国品牌日,小众节点,fixed_solar,05-10,2,1,
国际护士节,小众节点,fixed_solar,05-12,2,1,
国际家庭日,小众节点,fixed_solar,05-15,2,1,
世界电信日,小众节点,fixed_solar,05-17,2,1,
世界高血压日,小众节点,fixed_solar,05-17,2,1,
全国助残日,小众节点,fixed_solar,05-17,2,1,
国际博物馆日,小众节点,fixed_solar,05-18,2,1,
世界蜜蜂日,小众节点,fixed_solar,05-20,2,1,
国际茶日,小众节点,fixed_solar,05-21,2,1,
国际生物多样性日,小众节点,fixed_solar,05-22,2,1,
525我爱我日,小众节点,fixed_solar,05-25,2,1,
