date,name,type,week_num,notes
2026-01-01,元旦,大众节日,1,
2026-01-05,小寒,二十四节气,2,
2026-01-20,大寒,二十四节气,4,
2026-01-21,世界拥抱日,小众节点,4,
2026-01-24,国际教育日,小众节点,4,
2026-02-02,世界湿地日,小众节点,6,
2026-02-04,世界癌症日,小众节点,6,
2026-02-04,立春,二十四节气,6,
2026-02-10,国际气象节,小众节点,7,
2026-02-14,情人节,大众节日,7,
2026-02-16,除夕,大众节日,8,春节前一天
2026-02-17,春节,大众节日,8,农历正月初一
2026-02-18,雨水,二十四节气,8,
2026-02-24,返工季,大众节日,9,春节后第一个工作日约正月初八前后
2026-02-27,国际北极熊日,小众节点,9,
2026-02-28,国际罕见病日,小众节点,9,
2026-03-03,世界野生动植物日,小众节点,10,
2026-03-03,全国爱耳日,小众节点,10,
2026-03-03,元宵节,大众节日,10,农历正月十五
2026-03-05,惊蛰,二十四节气,10,
2026-03-08,妇女节,大众节日,10,
2026-03-12,中国植树节,大众节日,11,
2026-03-14,白色情人节,大众节日,11,
2026-03-14,国际数学日,小众节点,11,
2026-03-15,消费者权益保护日,大众节日,11,
2026-03-17,国际航海日,小众节点,12,
2026-03-18,世界回收日,小众节点,12,
2026-03-18,全国爱肝日,小众节点,12,
2026-03-20,国际幸福日,小众节点,12,
2026-03-20,世界口腔健康日,小众节点,12,
2026-03-20,春分,二十四节气,12,
2026-03-20,龙抬头,大众节日,12,农历二月初二
2026-03-21,世界睡眠日,小众节点,12,
2026-03-21,世界森林日,小众节点,12,
2026-03-21,世界诗歌日,小众节点,12,
2026-03-22,世界水日,小众节点,12,
2026-03-23,国际小狗日,小众节点,13,
2026-03-27,世界戏剧日,小众节点,13,
2026-03-29,地球一小时,大众节日,13,3月最后一个周六(20:30)
2026-04-01,愚人节,大众节日,14,
2026-04-01,国际爱鸟日,小众节点,14,
2026-04-02,世界孤独症关注日,小众节点,14,
2026-04-02,国际枕头大战日,小众节点,14,
2026-04-04,清明,二十四节气,14,同时为法定假日
2026-04-07,世界卫生日,小众节点,15,
2026-04-08,国际珍稀动物保护日,小众节点,15,
2026-04-09,国际护胃日,小众节点,15,
2026-04-12,世界航天日,小众节点,15,
2026-04-13,泼水节,大众节日,16,4月13-15日
2026-04-15,全国抗癌日,小众节点,16,
2026-04-16,世界嗓音日,小众节点,16,
2026-04-18,国际古迹遗址日,小众节点,16,
2026-04-19,三月三,大众节日,16,农历三月初三
2026-04-20,全民饮茶日,小众节点,17,
2026-04-20,联合国中文日,小众节点,17,
2026-04-20,世界痛风日,小众节点,17,
2026-04-20,谷雨,二十四节气,17,
2026-04-22,世界地球日,大众节日,17,
2026-04-23,世界读书日,大众节日,17,
2026-04-24,中国航天日,小众节点,17,
2026-04-26,世界知识产权日,小众节点,17,
2026-04-29,国际导盲犬日,小众节点,18,
2026-04-30,国际不打小孩日,小众节点,18,
2026-05-01,劳动节,大众节日,18,
2026-05-04,五四青年节,大众节日,19,
2026-05-05,立夏,二十四节气,19,
2026-05-08,世界微笑日,小众节点,19,
2026-05-08,世界红十字日,小众节点,19,
2026-05-09,中华白海豚保护宣传日,小众节点,19,
2026-05-10,中国品牌日,小众节点,19,
2026-05-10,母亲节,大众节日,19,5月第2个周日(周日=6)
2026-05-12,国际护士节,小众节点,20,
2026-05-15,国际家庭日,小众节点,20,
2026-05-17,世界电信日,小众节点,20,
2026-05-17,世界高血压日,小众节点,20,
2026-05-17,全国助残日,小众节点,20,
2026-05-18,国际博物馆日,小众节点,21,
2026-05-20,520网络情人节,大众节日,21,
2026-05-20,世界蜜蜂日,小众节点,21,
2026-05-21,国际茶日,小众节点,21,
2026-05-21,小满,二十四节气,21,
2026-05-22,国际生物多样性日,小众节点,21,
2026-05-25,525我爱我日,小众节点,22,
2026-05-25,全国护肤日,小众节点,22,
2026-05-25,国际儿童失踪日,小众节点,22,
2026-05-28,世界水獭日,小众节点,22,5月最后一个周三
2026-05-28,国际月经日,小众节点,22,
2026-05-29,世界肠道健康日,小众节点,22,
2026-05-30,全国科技工作者日,小众节点,22,
2026-05-31,世界无烟日,小众节点,22,
2026-06-01,儿童节,大众节日,23,
2026-06-01,世界牛奶日,小众节点,23,
2026-06-03,世界自行车日,小众节点,23,
2026-06-04,全球跑步日,小众节点,23,6月第1个周三
2026-06-05,世界环境日,小众节点,23,
2026-06-05,芒种,二十四节气,23,
2026-06-06,全国爱眼日,小众节点,23,
2026-06-08,世界海洋日,小众节点,24,
2026-06-14,世界献血者日,小众节点,24,
2026-06-14,文化和自然遗产日,小众节点,24,6月第2个周六
2026-06-17,世界防治荒漠化与干旱日,小众节点,25,
2026-06-18,618大促,大众节日,25,电商大促预热期长
2026-06-18,世界自闭症骄傲日,小众节点,25,
2026-06-19,端午节,大众节日,25,农历五月初五
2026-06-20,世界冲浪日,小众节点,25,
2026-06-21,国际瑜伽日,小众节点,25,
2026-06-21,父亲节,大众节日,25,6月第3个周日
2026-06-21,夏至,二十四节气,25,
2026-06-22,世界失禁周,小众节点,26,近似固定
2026-06-23,国际奥林匹克日,小众节点,26,
2026-06-26,国际禁毒日,小众节点,26,
2026-06-29,世界小王子日,小众节点,27,
2026-07-01,建党节,大众节日,27,
2026-07-05,世界无聊日,小众节点,27,
